PassengerId;Survived;Pclass;Name;Sex;Age;Parch;Embarked;Age_group;Sex_num;Family_status
1;0;3;Braund, Mr. Owen Harris;male;22.0;0;S;Взрослый (19-40);0;Один(а)
2;1;1;Cumings, Mrs. John Bradley (Florence Briggs Thayer);female;38.0;0;C;Взрослый (19-40);1;Один(а)
3;1;3;Heikkinen, Miss. Laina;female;26.0;0;S;Взрослый (19-40);1;Один(а)
4;1;1;Futrelle, Mrs. Jacques Heath (Lily May Peel);female;35.0;0;S;Взрослый (19-40);1;Один(а)
5;0;3;Allen, Mr. William Henry;male;35.0;0;S;Взрослый (19-40);0;Один(а)
6;0;3;Moran, Mr. James;male;25.0;0;Q;Взрослый (19-40);0;Один(а)
7;0;1;McCarthy, Mr. Timothy J;male;54.0;0;S;Средний возраст (41-60);0;Один(а)
8;0;3;Palsson, Master. Gosta Leonard;male;2.0;1;S;Ребёнок (0-12);0;С семьёй
9;1;3;Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg);female;27.0;2;S;Взрослый (19-40);1;С семьёй
10;1;2;Nasser, Mrs. Nicholas (Adele Achem);female;14.0;0;C;Подросток (13-18);1;Один(а)
11;1;3;Sandstrom, Miss. Marguerite Rut;female;4.0;1;S;Ребёнок (0-12);1;С семьёй
12;1;1;Bonnell, Miss. Elizabeth;female;58.0;0;S;Средний возраст (41-60);1;Один(а)
13;0;3;Saundercock, Mr. William Henry;male;20.0;0;S;Взрослый (19-40);0;Один(а)
14;0;3;Andersson, Mr. Anders Johan;male;39.0;5;S;Взрослый (19-40);0;С семьёй
15;0;3;Vestrom, Miss. Hulda Amanda Adolfina;female;14.0;0;S;Подросток (13-18);1;Один(а)
16;1;2;Hewlett, Mrs. (Mary D Kingcome) ;female;55.0;0;S;Средний возраст (41-60);1;Один(а)
17;0;3;Rice, Master. Eugene;male;2.0;1;Q;Ребёнок (0-12);0;С семьёй
18;1;2;Williams, Mr. Charles Eugene;male;30.0;0;S;Взрослый (19-40);0;Один(а)
19;0;3;Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele);female;31.0;0;S;Взрослый (19-40);1;Один(а)
20;1;3;Masselmani, Mrs. Fatima;female;22.0;0;C;Взрослый (19-40);1;Один(а)
21;0;2;Fynney, Mr. Joseph J;male;35.0;0;S;Взрослый (19-40);0;Один(а)
22;1;2;Beesley, Mr. Lawrence;male;34.0;0;S;Взрослый (19-40);0;Один(а)
23;1;3;"McGowan, Miss. Anna ""Annie""";female;15.0;0;Q;Подросток (13-18);1;Один(а)
24;1;1;Sloper, Mr. William Thompson;male;28.0;0;S;Взрослый (19-40);0;Один(а)
25;0;3;Palsson, Miss. Torborg Danira;female;8.0;1;S;Ребёнок (0-12);1;С семьёй
26;1;3;Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson);female;38.0;5;S;Взрослый (19-40);1;С семьёй
27;0;3;Emir, Mr. Farred Chehab;male;25.0;0;C;Взрослый (19-40);0;Один(а)
28;0;1;Fortune, Mr. Charles Alexander;male;19.0;2;S;Взрослый (19-40);0;С семьёй
29;1;3;"O'Dwyer, Miss. Ellen ""Nellie""";female;22.0;0;Q;Взрослый (19-40);1;Один(а)
30;0;3;Todoroff, Mr. Lalio;male;25.0;0;S;Взрослый (19-40);0;Один(а)
31;0;1;Uruchurtu, Don. Manuel E;male;40.0;0;C;Взрослый (19-40);0;Один(а)
32;1;1;Spencer, Mrs. William Augustus (Marie Eugenie);female;35.0;0;C;Взрослый (19-40);1;Один(а)
33;1;3;Glynn, Miss. Mary Agatha;female;22.0;0;Q;Взрослый (19-40);1;Один(а)
34;0;2;Wheadon, Mr. Edward H;male;66.0;0;S;Пожилой (61+);0;Один(а)
35;0;1;Meyer, Mr. Edgar Joseph;male;28.0;0;C;Взрослый (19-40);0;Один(а)
36;0;1;Holverson, Mr. Alexander Oskar;male;42.0;0;S;Средний возраст (41-60);0;Один(а)
37;1;3;Mamee, Mr. Hanna;male;25.0;0;C;Взрослый (19-40);0;Один(а)
38;0;3;Cann, Mr. Ernest Charles;male;21.0;0;S;Взрослый (19-40);0;Один(а)
39;0;3;Vander Planke, Miss. Augusta Maria;female;18.0;0;S;Подросток (13-18);1;Один(а)
40;1;3;Nicola-Yarred, Miss. Jamila;female;14.0;0;C;Подросток (13-18);1;Один(а)
41;0;3;Ahlin, Mrs. Johan (Johanna Persdotter Larsson);female;40.0;0;S;Взрослый (19-40);1;Один(а)
